SourceElementKey,Latitude,Longitude,BlockfaceName,SideOfStreet,ParkingSpaceCount,PaidParkingArea
32265,-122.32102062,47.62255637,BROADWAY E BETWEEN E HARRISON ST AND E REPUBLICAN ST,W,4,Capitol Hill
35889,-122.33168043,47.62602813,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,N,1,South Lake Union
14770,-122.32036529,47.62308318,E REPUBLICAN ST BETWEEN BROADWAY E AND 10TH AVE E,S,6,Capitol Hill
13793,-122.33049346,47.62025648,YALE AVE N BETWEEN JOHN ST AND THOMAS ST,W,11,South Lake Union
35502,-122.3251578,47.61025244,SPRING ST BETWEEN BOREN AVE AND MINOR AVE,SE,4,First Hill
55030,-122.32435775,47.60764057,COLUMBIA ST BETWEEN TERRY AVE AND BOREN AVE,SE,5,First Hill
34509,-122.33309802,47.62256499,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,14,South Lake Union
36142,-122.33804739,47.61715715,WESTLAKE AVE BETWEEN LENORA ST AND BLANCHARD ST,E,8,Denny Triangle
32126,-122.33572918,47.62261492,BOREN AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,10,South Lake Union
55025,-122.32553133,47.60726592,COLUMBIA ST BETWEEN 9TH AVE AND TERRY AVE,NW,7,First Hill
12950,-122.3231841,47.61067784,SUMMIT AVE BETWEEN MADISON ST AND SPRING ST,NE,9,First Hill
11874,-122.32429488,47.61021335,MINOR AVE BETWEEN MADISON ST AND SPRING ST,NE,5,First Hill
56362,-122.33618907,47.61966361,JOHN ST BETWEEN DEAD END AND BOREN AVE N,S,2,South Lake Union
12953,-122.32463043,47.61203512,SUMMIT AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,10,First Hill
130793,-122.34044917,47.62467469,MERCER NR ST BETWEEN 8TH AVE N AND 9TH AVE N,N,7,South Lake Union
11873,-122.32444208,47.61015018,MINOR AVE BETWEEN MADISON ST AND SPRING ST,SW,3,First Hill
80953,-122.32564569,47.61580147,SUMMIT AVE BETWEEN E PINE ST AND E OLIVE ST,W,6,Capitol Hill
12545,-122.33509668,47.6232647,REPUBLICAN ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,N,7,South Lake Union
8002,-122.3388561,47.61482832,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,3,Denny Triangle
8406,-122.34090264,47.62666319,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,E,10,South Lake Union
76202,-122.3409512,47.62266064,8TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,3,South Lake Union
13262,-122.34288677,47.62620934,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,S,4,South Lake Union
